Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
07/06/2020,Granules,"Metformin Hydrochloride Extended-Release Tablets USP, 750 mg","Drugs,",N-Nitrosodimethylamine (NDMA),"Granules Pharmaceuticals, Inc."
07/03/2020,Natural Balance,Ultra Premium Chicken & Liver Paté Formula,"Animal & Veterinary,",Due to elevated levels of choline chloride,J. M. Smucker Company
07/02/2020,Signature Farms,Garden Salad,"Food & Beverages, Foodborne Illness",Possible Cyclospora Contamination,Jewel-Osco
07/02/2020,Mystic Shield,Mystic Shield Protection Topical Solution,"Cosmetics, Drugs, Skin Care Products",Undeclared methanol,Transliquid Technologies LLC
06/30/2020,Garland Ventures Ltd.,Five Cheese Stuffed Shells,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,Garland Ventures Ltd.
06/29/2020,Hy-Vee,"Chopped Salad Kit, Shredded Iceberg and more","Food & Beverages, Produce",Possible Cyclospora Contamination,Hy-Vee Inc.
06/29/2020,Saniderm,"Advanced Hand Sanitizer, 70% alcohol content","Drugs,",Potential presence of methanol (wood alcohol),"UVT, INC."
06/29/2020,"Fresh Express, Giant Eagle and more","Old fashioned coleslaw, 3 color deli coleslaw and more","Food & Beverages,",Possible Cyclospora Contamination,Fresh Express
06/29/2020,Garlic Shrimp Poke,Garlic Shrimp Poke,"Food & Beverages, Shellfish",Potential to be contaminated with Listeria monocytogenes,Norpac Fisheries Export
06/29/2020,Whole Foods Market,Red Velvet Cheesecake slices,"Food & Beverages, Bakery Product/Mix",Undeclared walnuts,Whole Foods Market
06/27/2020,Saniderm,Advanced Hand Sanitizer,"Drugs,",May contain methanol (wood alcohol),Saniderm Products
06/26/2020,Marketside,Classic Iceberg Salad,"Food & Beverages,",Possible Cyclospora Contamination,Fresh Express
06/25/2020,Enlightened,Chocolate Peanut Butter Ice Cream,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",May contain undeclared milk ingredients,"Beyond Better Foods, LLC"
06/24/2020,TTDeye,Colored contact lenses,"Medical Devices,",Distributed without FDA clearance may pose health risk,"Chengdu Ai Qin E-commerce Co., Ltd"
06/23/2020,7-Select,Yogurt Pretzels,"Food & Beverages, Allergens, Snack Food Item",Undeclared Peanuts,Mount Franklin Foods
06/23/2020,Little Salad Bar,Garden Salad,"Food & Beverages, Vegetable Products, Foodborne Illness",Possible Cyclospora Contamination,ALDI
06/23/2020,Golden Nutrition Inc.,Anti-Viral Immune Enhancement Capsules,"Food & Beverages,",Unsubstantiated Health Claims on Label,Golden Nutrition Inc.
06/22/2020,Flagstone Foods LLC,North Star Sweet & Salty Caramel Trail Mix,"Food & Beverages,",Undeclared Cashews,Flagstone Foods LLC
06/22/2020,Hy-Vee Inc.,"Garden Salad, Bagged","Food & Beverages,",Potential Cyclospora Contamination,Hy-Vee Inc.
06/22/2020,Gordon Choice,Imitation Crab Supreme Style,"Food & Beverages, Allergens",May contain undeclared egg white,Trident Seafoods
06/19/2020,Fresh Express,Southwest Chopped Kit,"Food & Beverages, Allergens","Undeclared wheat, soy, cashews and coconut",Fresh Express
06/19/2020,Hill Country Fare,"Pink Lemonade, Citrus Punch, Fruit Drink and Grape Drink","Food & Beverages,",Undeclared Milk,H-E-B
06/18/2020,Robitussin,Cough and cold products,"Drugs, Over-the-Counter Drugs",Incorrect dosing cups,GSK Consumer Healthcare
06/12/2020,Captain Rusty’s,"Undeclared fish, shellfish, wheat, eggs, soy, and milk","Food & Beverages, Allergens, Seafood/Seafood Product","Undeclared fish, shellfish, wheat, eggs, soy, and milk",Rusty’s Seafood Market
06/12/2020,Now Real Food,Raw Macadamia Nuts,"Food & Beverages, Nuts & Nut Products, Foodborne Illness",Potential Salmonella contamination,"NOW Health Group, Inc."
06/11/2020,Lupin,Metformin Hydrochloride Extended-release Tablets,"Drugs,",Detection of N-Nitrosodimethylamine (NDMA),"Lupin Pharmaceuticals, Inc"
06/11/2020,Xi Zhi Liang,Konjac powder jelly cups,"Food & Beverages,",Potential choking hazard,Rong Shing Trading NY Inc.
06/05/2020,Apotex Corp,"Metformin Hydrochloride Extended-Release Tablets, USP 500mg","Drugs,",Due to detection of N-Nitrosodimethylamine (NDMA),Apotex Corp
06/05/2020,Actavis,"Metformin Hydrochloride Extended-Release Tablets, USP 500mg and 750mg","Drugs,",Due to detection of N-Nitrosodimethylamine (NDMA),Teva Pharmaceuticals USA Inc.
06/05/2020,"Time-Cap Labs, Inc.","Metformin Hydrochloride Extended-Release Tablets, USP 500mg","Drugs,",Due to detection of N-Nitrosodimethylamine (NDMA),"Marksans Pharma Limited, India"
06/01/2020,Amneal,"Metformin Hydrochloride Extended-Release Tablets, USP 500mg and 750mg","Drugs,",Due to detection of N-Nitrosodimethylamine (NDMA),Amneal Pharmaceuticals LLC
06/01/2020,BIOCELL,Breast Implants,"Medical Devices,",Increased risk of BIA-ALCL,Allergan Aesthetics
05/29/2020,CHS Inc.,"Champion Meat Goat Pellets R20, Medicated Feed","Animal & Veterinary, Livestock Feed",Due to elevated level of Rumensin (monensin),"PGG/HSC Feed Company, LLC, dba CHS Nutrition"
05/26/2020,Johnson Sea Products,Crab cakes,"Food & Beverages,",Undeclared wheat and soy,Johnson Sea Products
05/22/2020,Acella,"30-mg, 60-mg and 90-mg NP Thyroid®","Drugs,",Super potency,"Acella Pharmaceuticals, LLC"
05/21/2020,Radhuni,Curry Powder,"Food & Beverages, Spices, Flavors &  Salts, Foodborne Illness",Salmonella,"New Hoque and Sons, Inc."
05/20/2020,Biota Biosciences,"Cannabidiol (CBD) Complex, Curcumin Complex, Cannabidiol + Curcumin","Drugs,",Unapproved new drug,"Biota Biosciences, LLC"
05/20/2020,Kent,Home Fresh Starter AMP Crumble,"Animal & Veterinary, Livestock Feed",Elevated Salt Levels,Kent Nutrition Group
05/15/2020,KORE ORGANIC,Watermelon CBD oil tincture,"Drugs,",Contains lead,Summitt Labs
05/15/2020,Wegmans,Semi-Sweet Chocolate nonpareils,"Food & Beverages,",Undeclared Milk,MELLACE FAMILY BRANDS CALIFORNIA INC.
05/14/2020,Peekaboo,Mint Chocolate Chip with Hidden Spinach Ice Cream,"Food & Beverages, Ice Cream/Frozen Dairy, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Ramar Foods
05/11/2020,"MasterPharm, LLC","Finasteride Plus 1.25mg, capsules","Drugs,",Contains undeclared minoxidil,"MasterPharm, LLC"
05/11/2020,Wild Harvest,Organic Fresh Basil,"Food & Beverages, Vegetable Products",Contaminated by Cyclospora cayetanensis,"United Natural Foods, Inc."
05/08/2020,ICU Medical Inc.,"Lactated Ringer’s Injection, USP","Animal & Veterinary, Drugs, Animal Drugs",Presence of particulates (iron oxide),ICU Medical Inc.
05/08/2020,Pluckers World Famous Wing Sauce,Bottled Wing Sauces,"Food & Beverages,","Undeclared Allergens (Milk, Soy, and/or Wheat)","Zilk's Plus Resources, LLC"
05/07/2020,Becca Cosmetics,Light Shifter Brightening Concealer,"Cosmetics, Makeup",Potential Mold,Becca Cosmetics
05/05/2020,The Essential Baking Company,Sliced Columbia Bread,"Food & Beverages,",Undeclared Egg,The Essential Baking Company
05/04/2020,OPTAVIA,Essential Old Fashioned Maple & Brown Sugar Oatmeal,"Food & Beverages, Allergens",Undeclared Milk,"Medifast, Inc."
05/01/2020,Nabisco,Ritz crackers,"Food & Beverages,",Undeclared peanut,Mondelez Global LLC
04/29/2020,Condies Foods,Chicken salad sandwiches,"Food & Beverages, Allergens",Undeclared soy,Condies Foods
04/29/2020,CMEAmerica BodyGuard,Infusion pumps and infusion sets,"Medical Devices,",pumps may not deliver fluid at the accuracy specified in the instructions for use and infusion sets may under-deliver fluids,CME America
04/28/2020,Benefiber,Prebiotic Fiber Supplement,"Food & Beverages,",Potential for plastic pieces or shavings,GSK Consumer Healthcare
04/27/2020,QuVa,"R.E.C.K. (Ropivacaine, Epinephrine, Clonidine, Ketorolac) 50 ml in Sodium Chloride-60 ml BD syringe","Drugs,",presence of particulate matter,"QuVa Pharma, Inc."
04/22/2020,Royal International Trading Inc.,"""TAINY BOCTOKA DRY FRUITS MIX COMPOT APPLE""","Food & Beverages, Allergens, Fruit/Fruit Product",Undeclared Sulfites,Royal International Trading Inc.
04/21/2020,TRUE METRIX,TRUE METRIX® AIR Blood Glucose Meter,"Medical Devices,",Incorrect factory-set unit of measure,"Trividia Health, Inc."
04/21/2020,Ocean Spray,Pink Lite Cranberry Juice Drink,"Food & Beverages,",Undeclared Sulfites,"Ocean Spray Cranberries, Inc."
04/21/2020,"Buckhead Meat and Seafood of Houston, Inc.",Frozen Flounder Stuffed with Seafood,"Food & Beverages,","Undeclared wheat, soy, milk, fish, and eggs","Buckhead Meat and Seafood of Houston, Inc., a Sysco Company"
04/20/2020,Fresenius Kabi,"Ketorolac Tromethamine Injection, USP, 30 mg/mL, and Ketorolac Tromethamine Injection, USP, 60 mg/2 mL","Drugs,",Presence of Particulate Matter,"Fresenius Kabi USA, LLC"
04/20/2020,B. Braun,Ceftazidime for Injection USP (2g) and Dextrose for Injection USP (50 ml) in Duplex® Container,"Drugs,",Out-of-Specification Results for High Molecular Weight Polymers,Braun Medical Inc
04/17/2020,Homestead Creamery,Unsalted Butter,"Food & Beverages, Butter/Butter Product, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Homestead Creamery Inc.
04/16/2020,Heritage,"Tetracycline HCl Capsules, 250mg and 500mg","Drugs,",Due to low out of specification dissolution results,Avet Pharmaceuticals Labs Inc.
04/16/2020,Whole Foods Market,Queso Sauce,"Food & Beverages,",Undeclared cashews,Whole Foods Market
04/15/2020,Clover Valley®,Iced Oatmeal Cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk and Tree Nuts,Dollar General Corporation
04/15/2020,Gemini Laboratories,Nizatidine Oral Solution 15 mg/mL,"Drugs,",NDMA (Nitrosodimethylamine) impurity,"Amneal Pharmaceuticals, LLC"
04/14/2020,Sun Hong Foods,Enoki Mushrooms,"Food & Beverages,",Potential to be contaminated with Listeria monocytogenes,"Sun Hong Foods, Inc."
04/14/2020,Guan's Mushroom Co.,Enoki Mushroom,"Food & Beverages, Foodborne Illness",Potential Listeria monocytogenes,Guan's Mushroom Co.
04/14/2020,H&C Food Inc.,Enoki mushrooms,"Food & Beverages, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,H&C Food Inc.
04/13/2020,Sagent,"Methylprednisolone Sodium Succinate for Injection, USP 40mg, 125mg, and 1g","Drugs,",Due to High Out of Specification Impurity Results,Sagent Pharmaceuticals
04/13/2020,"Hospira, Inc.","Hydromorphone HCL Injection, USP","Drugs,",Due to The Potential for Empty or Cracked Glass Vials,"Hospira, Inc."
04/13/2020,Kodiak Cakes,Blueberry Chia Energy Waffles,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Kodiak Cakes
04/13/2020,"DSD Merchandisers, Inc.",Roasted/Salted Deluxe Mixed Nuts,"Food & Beverages,",Undeclared peanut,"DSD Merchandisers, Inc."
04/10/2020,Starwest Botanicals,Organic cardamom whole green pods,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with salmonella,Starwest Botanicals
04/10/2020,Wegmans,Thai Sweet Chili Sauce Cup,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,"Wegmans Food Markets, Inc."
04/10/2020,IDLife,"Protein bars, Snack bars, Kids bars","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Allergens (peanuts, almonds, almonds coconut oil)","IDLife, LLC"
04/10/2020,Ciolo Foods,Nut Free Basil Pesto,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared tree nuts (Pine Nuts and Walnuts),Ciolo Foods
04/10/2020,"Redbarn, Chewy Louie, Dentley's, and Good Lovin'",Bully Stick dog food,"Animal & Veterinary, Food & Beverages, Pet Food, Foodborne Illness",Potential to be contaminated with Salmonella,"Redbarn Pet Products, LLC"
04/10/2020,Whole Foods Market,Minestrone Soup,"Food & Beverages,",Undeclared milk,Whole Foods Market
04/09/2020,Midwest Northern Nut,Nut and Seed Snack Mixes,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanuts and various tree nuts,Midwest Northern Nut
04/09/2020,"Kraken Kratom, Soul Speciosa, and Phytoextractum",Kratom Powder,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with salmonella,"PDX Aromatics DBA Kraken Kratom, Phytoextractum, and Soul Speciosa"
04/09/2020,Bayer,Alka-Seltzer Plus,"Drugs,",Mislabeling-The ingredients on the front sticker may not match the actual product in the carton,Bayer
04/09/2020,Natural Grocers,Coconut Smiles Organic,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,"Vitamin Cottage Natural Food Markets, Inc."
04/09/2020,The Maiden’s Creamery,Raw Goat Milk Cheese,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Good Fields Farm / The Maidens Creamery
04/09/2020,Haggen,Deli products,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with salmonella,Haggen
04/09/2020,Southgate,Hot Dog Chili Sauce,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Wheat and Eggs,Vietti Foods
04/09/2020,Schwartz Brothers Bakery,Cream Cheese Cinnamon Rolls,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,Schwartz  Brothers Bakery of Seattle
04/09/2020,River Valley Sprouts,Alfalfa Sprouts,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,River Valley Sprouts
04/09/2020,"Kraken Kratom, Phytoextractum, & Soul Speciosa",White vein powder & capsule red vein powder products,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Nutritional Supplement, Foodborne Illness",Potential to be contaminated with Salmonella,PDX Aromatics
04/09/2020,Oregon Food Bank,Chia Seeds,"Food & Beverages, Food & Beverage Safety",May be contaminated with rodent droppings,Oregon Food Bank
04/09/2020,Organic Go Smile!,Raw Coconut,"Food & Beverages, Food & Beverage Safety, Fruit/Fruit Product , Foodborne Illness",Potential of Salmonella,"International Harvest, Inc"
04/09/2020,Oregon Food Bank,Pumpkin Seeds,"Food & Beverages, Food & Beverage Safety, Seeds, Foodborne Illness",Potential to be contaminated with Listeria species,Oregon Food Bank
04/09/2020,Izzy's Ice Cream,Maple Nut Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,"Izzy's Ice Cream, LLC"
04/08/2020,Weis,Cole Slaw,"Food & Beverages, Allergens, Egg/Egg Product",Undeclared Egg,Weis Markets
04/08/2020,Rad Cat,Free-Range Chicken and Turkey Recipes (Raw Diet) for Cats,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,"Radagast Pet Food, Inc."
04/08/2020,Milo’s Kitchen,Dog treats,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety",Elevated Levels of Thyroid Hormone,J.M. Smucker Company
04/07/2020,"Kraken Kratom, Phytoextractum, & Soul Speciosa",White vein powder & capsule red vein powder products,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with salmonella,PDX Aromatics
04/07/2020,King Arthur,Organic Coconut Flour,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with salmonella,King Arthur Flour Company
04/07/2020,Eclipse,Eclipse Kratom-containing powder products,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Nutritional Supplement, Foodborne Illness",Salmonella,Tamarack Inc.
04/07/2020,Kitchen's Cravings,Egg Salad Sandwich,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Fish or Shellfish,"Kwik Trip, Inc."
04/07/2020,PASTA DE LASSAR ANDROMACO,Pasta De Lassar Andromaco Skin Protectant,"Drugs,","Due to Potential Contamination of high levels of yeast, mold, and bacteria","MarcasUSA, LLC"
04/07/2020,PASTA DE LASSAR ANDROMACO,Pasta De Lassar Andromaco Skin Protectant,"Drugs,","Due to Potential Contamination of high levels of yeast, mold, and bacteria","MarcasUSA, LLC"
04/07/2020,Buenas,Grated coconut,"Food & Beverages, Food & Beverage Safety, Organic Food / Home Grown, Foodborne Illness",Salmonella,Global Commodities Corporation
04/07/2020,"Mrs. Gerry's, Open Acres, Festival, Knowlan's and Market Fresh",Egg Salads and Potato Salads,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Seafood-fish and shellfish,Mrs. Gerry's Kitchen Inc.
04/07/2020,EXO,"Blueberry vanilla, peanut butter & jelly, and apple cinnamon cricket protein bars","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,Aspire Food Group
04/07/2020,La Marinera,Dried Yellow Potatoes,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,"Guixens Food Group, Inc."
04/07/2020,Whole Foods Market,Decorated (iced) cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,Whole Foods Market
04/07/2020,Natural Selections and ZooLogics,Fresh raw meals for dogs,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Due To Contamination Salmonella And Shiga Toxin-Producing Escherichia Coli O128,Darwin’s Natural Pet Products
04/07/2020,Back to Health and Healthy Home Center Inc.,pre-workout dietary supplements,"Dietary Supplements, Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Independent Nutrition Inc. dba Back to Health
04/07/2020,eBars,Energy Bars,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut and/or almond,eBars LLC
04/07/2020,Formagere de la Brie,Cheese,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,"Seacrest Foods International, Inc."
04/07/2020,Advocare,Muscle Strength and Nighttime Recovery dietary supplements,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Advocare International
04/07/2020,"Archer Farms, Ben & Jerry’s, Breyers, C&W",Various frozen items,Food & Beverage Safety,May be contaminated by spoilage organisms or pathogens,Target Corporation
04/07/2020,Vusa Vibe,Vuse Vibe power units,"Tobacco,",Due to malfunctioning batteries,R.J. Reynolds Vapor Company
04/07/2020,K9 Natural,Pet food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Pet Food, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,K9 Natural Ltd
04/07/2020,"Food Service, H. Brooks, H. Brooks-Taste Buds, and Supervalu - Cub Quick & Easy",Bruschetta Dip and Bruschetta Mix,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Soy and Milk,Cut Fruit Express Inc.
04/07/2020,Bob's Red Mill,Organic Amaranth Flour,"Food & Beverages, Bakery Product/Mix, Food & Beverage Safety, Foodborne Illness",Salmonella,Bob's Red Mill Natural Foods
04/07/2020,Healthy Nut Factory,Organic Coconut Smiles,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with salmonella,The Health Nuts
04/07/2020,Club 13,Kratom Maeng Da Red,"Dietary Supplements, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be Contaminated with Salmonella,Club 13
04/07/2020,Four J,Charred Tomato & Basil Sauce,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Soy, Wheat and Fish",Cookwell & Company
04/07/2020,Stewart's,Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,Stewart's Shops Corp
04/07/2020,Wegmans,Yogurt Raisins,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,"First Source, LLC"
04/07/2020,Explorateur,Triple crème cheese,"Food & Beverages, Cheese/Cheese Product, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes.,Whole Foods Market
04/06/2020,"Various: Pain Out, Nirvanio, Cali",various kratom dietary supplements,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Salmonella,"NutriZone, LLC"
04/06/2020,Budget $aver,Ice pops,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Listeria,Ziegenfelder Company
04/06/2020,Herbal-Salvation,Kratom containing powder products,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Salmonella,Viable Solutions
04/06/2020,"Giant Eagle, Market District and GetGo",items prepared with romaine lettuce,"Food & Beverages, Food & Beverage Safety, Produce, Foodborne Illness",Due to Potential E. coli Contamination,"Giant Eagle, Inc."
04/06/2020,"Simply Superior, Morey’s",Smoked Salmon Spreads,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Listeria,Superior Foods Company
04/06/2020,Sunseed Vita Prima,Sugar Glider Formula,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,Vitakraft Sun Seed Inc
04/06/2020,Labrada,"""LeanPro8"" Protein Powder","Food & Beverages, Allergens, Food & Beverage Safety",Allergen - Eggs,Labrada Nutrition
04/06/2020,NXTGEN,Kratom dietary supplement,"Food & Beverages, Food & Beverage Safety",Salmonella,NGB Corp
04/06/2020,"Publix, Sunups, more",Shell eggs,"Food & Beverages, Allergens, Food & Beverage Safety",Eggs,"Cal-Maine Foods, Inc."
04/06/2020,TRUDOG,Pet food-freezed dried raw beef topper,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Salmonella,"TruPet, LLC"
04/06/2020,Formagerie de la Brie brand,l’Explorateur soft ripened cheese,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Listeria,World’s Best Cheeses
04/06/2020,OC Raw Dog,Freeze Dried Sardines,"Animal & Veterinary,",Incorrect compliance guidelines,"OC Raw Dog, LLC"
04/06/2020,OC Raw Dog,"Chicken, Fish, & Produce Dog Food","Animal & Veterinary, Pet Food",Listeria,"OC Raw Dog, LLC"
04/06/2020,Eataly,Artichoke Spread,"Food & Beverages, Allergens, Food & Beverage Safety",Allergen - Walnuts,Eataly USA
04/06/2020,Greenbelt Microgreens,Microgreen Mix,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,Greenbelt Greenhouse LTD
03/31/2020,Stonewall Kitchen,Basil Pesto,"Food & Beverages, Allergens, Food & Beverage Safety",Allergen - Milk and Eggs,Stonewall Kitchen
03/31/2020,Sugarfina,Sugar Cookies Products,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Allergen - Eggs,"Sugarfina, Inc."
03/31/2020,Bombay Kitchen,Bhavnagri Mix,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,Ethnic Foods Inc.
03/31/2020,"Golden Flake, Good Health, UTZ, Weis",Tortilla Chips,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Quality Foods, LLC"
03/31/2020,Dragon Kratom,Dietary Supplements,"Food & Beverages, Allergens, Food & Beverage Safety, Foodborne Illness",Salmonella,"Maya Distribution, LLC"
03/31/2020,Gerard Dominique,Wild Coho Smoked Salmon,"Food & Beverages, Food & Beverage Safety",Clostridium botulinum,Seabear Company
03/31/2020,Medline Remedy Essentials,No-Rinse Cleansing foam,"Cosmetics, Food & Beverage Safety",B. cepacia,Shadow Holdings dba Bocchi Laboratories
03/31/2020,"Hickory Harvest, Heinens, and Liberty Snacks",ISLAND FRUIT MIX AND ORGANIC NUT MIX PRODUCTS,"Food & Beverages, Food & Beverage Safety, Foodborne Illness",Listeria monocytogenes,Hickory Harvest Foods
03/31/2020,SAM,Extremity Tourniquets,"Medical Devices, General Hospital & Personal Use",possible failure of the stitches securing the buckle to the nylon belt,SAM Medical
03/30/2020,7K and Poseidon,7K and Poseidon 4500 Dietary Supplements,"Drugs,",Undeclared Sildenafil and Tadalafil,Shoreside Enterprises
03/30/2020,Ziyad,Tahini,"Food & Beverages, Food & Beverage Safety, Gravy/Sauces, Foodborne Illness",Salmonella,Ziyad Brothers Importing
03/30/2020,Melanie,Liubitelskie Cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,Melanie Wholesale Inc.
03/30/2020,Melanie,Mini Cookies with Caramel Flavor,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergens: Peanuts,Melanie Wholesale Inc.
03/30/2020,The Peruchef,"Dry potato” and “Papa Seca Serrana""","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,Mas Food Services Co.
03/30/2020,Priano,Rosso Pesto Sauce,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Allergen: Eggs and Milk,BLM Products U. Vertriebsges
03/30/2020,"MBI Distributing, Inc.",Various Homeopathic Products,"Drugs, Generic Drugs",Lack of Adequate Controls,"MBI Distributing, Inc."
03/30/2020,"Ethanol Extraction/Lake Michigan Distilling Company, LLC",95% Ethyl Alcohol product,"Drugs, Food & Beverage Safety, Generic Drugs",Methanol,"Lake Michigan Distilling Company, LLC dba Ethanol Extraction"
03/30/2020,Golden International brand or none,Farm Raised Frozen whole tilapia fish IQF,"Food & Beverages, Food & Beverage Safety, Seafood/Seafood Product, Foodborne Illness",Potential to be contaminated with salmonella,Golden International Corporation
03/30/2020,Snak Club,Tropical Trail Mix,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item","Allergens: Milk, Soy, Wheat, and Cashews",Century Snacks LLC
03/27/2020,"Castor & Pollux, Merrick",,"Animal & Veterinary, Food & Beverages, Pet Food",Ingredient Level,Merrick Pet Care
03/27/2020,Meijer,Dill Pickle Flavored Potato Chips,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared milk,"Shearer’s Foods, LLC"
